No,Soal_x,Jawaban,Jawaban_Salah,SPK,SAL,Final_Feedback_Type,Soal_y,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
41,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....",3(p + q),"Ah, gampang! 3p + q, kan?",High,High,Try again + Delayed Topic Contingent,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....","Ah, gampang! 3p + q, kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hei, bagus usaha kamu! Tapi coba perhatikan lagi kata-kata dalam soal. 'Tiga kali jumlah p dan q' berarti kita harus menjumlahkan p dan q terlebih dahulu, baru dikalikan tiga. Coba pikirkan bagaimana cara menuliskan itu dalam bentuk aljabar. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': ""Hei, bagus usaha kamu! Tapi coba perhatikan lagi kata-kata dalam soal. 'Tiga kali jumlah p dan q' berarti kita harus menjumlahkan p dan q terlebih dahulu, baru dikalikan tiga. Coba pikirkan bagaimana cara menuliskan itu dalam bentuk aljabar. Kamu pasti bisa!""}"
42,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,2,"Gini nih, gampang! Jawabannya 4, kan?",Low,Low,Correct Response + Response Contingent,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,"Gini nih, gampang! Jawabannya 4, kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Ketika kita ingin mencari nilai dari $2x^2 - 3x + 1$ saat $x = 1$, kita harus mengganti $x$ dengan 1 di setiap tempat yang ada $x$. Coba hitung lagi dengan hati-hati, dan pastikan setiap langkahnya benar. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Ketika kita ingin mencari nilai dari $2x^2 - 3x + 1$ saat $x = 1$, kita harus mengganti $x$ dengan 1 di setiap tempat yang ada $x$. Coba hitung lagi dengan hati-hati, dan pastikan setiap langkahnya benar. Kamu pasti bisa!'}"
43,"Jika a = –3, maka nilai dari a^2 – 4a adalah....",21,"Kayaknya hasilnya 9, deh. Aku kaliin aja 3 sama 3, terus kurangin 4 kali 3, jadi 9 dikurang 12.",High,High,Try again + Delayed Topic Content,"Jika a = –3, maka nilai dari a^2 – 4a adalah....","Kayaknya hasilnya 9, deh. Aku kaliin aja 3 sama 3, terus kurangin 4 kali 3, jadi 9 dikurang 12.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar memulai dengan $a = -3$, tapi ingat bahwa $a^2$ berarti $(-3)^2$, bukan $3 \times 3$. Coba pikirkan kembali bagaimana cara menghitung $a^2$ dan $-4a$. Setelah itu, coba hitung ulang dan lihat apakah hasilnya berbeda. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar memulai dengan $a = -3$, tapi ingat bahwa $a^2$ berarti $(-3)^2$, bukan $3 \times 3$. Coba pikirkan kembali bagaimana cara menghitung $a^2$ dan $-4a$. Setelah itu, coba hitung ulang dan lihat apakah hasilnya berbeda. Kamu pasti bisa!'}"
44,"Jika x = 2, y = –1, maka nilai dari 3x – 4y adalah....",10,"Duh, 3(2) kan 6, terus 4(-1) jadi -4, jadi 6-4=2! Harusnya 2, kan?",Low,Low,Correct Response + Response Contingent,"Jika x = 2, y = –1, maka nilai dari 3x – 4y adalah....","Duh, 3(2) kan 6, terus 4(-1) jadi -4, jadi 6-4=2! Harusnya 2, kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan baik dengan menghitung $3(2) = 6$. Namun, ada sedikit kesalahan saat menghitung $4(-1)$. Ingat, ketika kamu mengalikan angka negatif, hasilnya juga akan negatif. Jadi, coba periksa kembali perhitungan $4(-1)$ dan lihat apakah hasilnya tetap sama. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan baik dengan menghitung $3(2) = 6$. Namun, ada sedikit kesalahan saat menghitung $4(-1)$. Ingat, ketika kamu mengalikan angka negatif, hasilnya juga akan negatif. Jadi, coba periksa kembali perhitungan $4(-1)$ dan lihat apakah hasilnya tetap sama. Kamu pasti bisa!'}"
45,Hasil dari (x – 3)(x + 3) adalah....,x^2 - 9,Kayaknya hasilnya x^2 + 9 deh.,High,Low,Correct Response + Topic Contingent,Hasil dari (x – 3)(x + 3) adalah....,Kayaknya hasilnya x^2 + 9 deh.,Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba mengalikan dua binomial, yaitu $(x - 3)(x + 3)$. Namun, hasil yang kamu dapatkan, $x^2 + 9$, belum tepat. Coba ingat kembali konsep perkalian dua binomial yang berbentuk $(a - b)(a + b)$. Ada pola khusus yang bisa kita gunakan di sini. Yuk, coba pikirkan lagi bagaimana cara mengalikan dua binomial ini dengan benar. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah mencoba mengalikan dua binomial, yaitu $(x - 3)(x + 3)$. Namun, hasil yang kamu dapatkan, $x^2 + 9$, belum tepat. Coba ingat kembali konsep perkalian dua binomial yang berbentuk $(a - b)(a + b)$. Ada pola khusus yang bisa kita gunakan di sini. Yuk, coba pikirkan lagi bagaimana cara mengalikan dua binomial ini dengan benar. Kamu pasti bisa!'}"
46,Sederhanakan: 4p + 3q – 2p – q,2p + 2q,"Ah, gampang nih! Jawabannya 6p + 4q kan?",High,High,Try again + Delayed Topic Contingent,Sederhanakan: 4p + 3q – 2p – q,"Ah, gampang nih! Jawabannya 6p + 4q kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hei, bagus banget semangatnya! Tapi coba kita lihat lagi langkah-langkahnya. Kamu sudah benar memulai dengan menyederhanakan, tapi coba perhatikan lagi koefisien dari variabel $p$ dan $q$. Ingat, kita harus menggabungkan suku-suku sejenis. Yuk, coba lagi dan lihat apakah ada yang terlewat. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hei, bagus banget semangatnya! Tapi coba kita lihat lagi langkah-langkahnya. Kamu sudah benar memulai dengan menyederhanakan, tapi coba perhatikan lagi koefisien dari variabel $p$ dan $q$. Ingat, kita harus menggabungkan suku-suku sejenis. Yuk, coba lagi dan lihat apakah ada yang terlewat. Kamu pasti bisa!'}"
47,Hasil pengurangan (6y + 4) – (2y + 7) adalah....,4y – 3,"Hmm, gampang! Kayaknya 8y + 11 deh?",Low,Low,Correct Response + Response Contingent,Hasil pengurangan (6y + 4) – (2y + 7) adalah....,"Hmm, gampang! Kayaknya 8y + 11 deh?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu semangat sekali mengerjakan soal ini, bagus! Namun, ada sedikit kesalahan dalam perhitunganmu. Coba kita lihat lagi langkah-langkahnya. Ketika kita mengurangkan $(6y + 4) - (2y + 7)$, kita perlu mengurangkan setiap bagian dari ekspresi. Jadi, kita kurangkan $6y$ dengan $2y$ dan $4$ dengan $7$. Coba pikirkan kembali bagaimana cara mengurangkan bilangan-bilangan ini. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu semangat sekali mengerjakan soal ini, bagus! Namun, ada sedikit kesalahan dalam perhitunganmu. Coba kita lihat lagi langkah-langkahnya. Ketika kita mengurangkan $(6y + 4) - (2y + 7)$, kita perlu mengurangkan setiap bagian dari ekspresi. Jadi, kita kurangkan $6y$ dengan $2y$ dan $4$ dengan $7$. Coba pikirkan kembali bagaimana cara mengurangkan bilangan-bilangan ini. Kamu pasti bisa!'}"
48,Hasil dari (x + 2) + (x – 5) adalah....,2x – 3,"Aduh, gampang! x^2 - 3.",High,Low,Correct Response + Topic Contingent,Hasil dari (x + 2) + (x – 5) adalah....,"Aduh, gampang! x^2 - 3.",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu salah dalam memahami operasi penjumlahan aljabar. Kamu menulis $x^2 - 3$, padahal kita hanya perlu menjumlahkan dua ekspresi linear: $(x + 2)$ dan $(x - 5)$. Coba perhatikan kembali bagaimana cara menjumlahkan koefisien dan konstanta dari kedua ekspresi tersebut. Kamu pasti bisa!""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Sepertinya kamu salah dalam memahami operasi penjumlahan aljabar. Kamu menulis $x^2 - 3$, padahal kita hanya perlu menjumlahkan dua ekspresi linear: $(x + 2)$ dan $(x - 5)$. Coba perhatikan kembali bagaimana cara menjumlahkan koefisien dan konstanta dari kedua ekspresi tersebut. Kamu pasti bisa!'}"
49,"Bentuk aljabar dari ""hasil kali 5 dan y"" adalah....",5y,"Hasil kali 5 sama y? Hmm, 5 + y aja deh.",Low,High,Verification + Delayed Correct Response + Response Contingent,"Bentuk aljabar dari ""hasil kali 5 dan y"" adalah....","Hasil kali 5 sama y? Hmm, 5 + y aja deh.",Verification + Delayed Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Hmm, sepertinya ada sedikit kebingungan di sini. Kamu menulis '5 + y', yang artinya penjumlahan antara 5 dan y. Namun, soal meminta 'hasil kali', yang berarti kita perlu memikirkan tentang perkalian. Coba ingat-ingat lagi, bagaimana cara menulis hasil kali dari dua angka atau variabel dalam bentuk aljabar? Jangan khawatir, kamu sudah berada di jalur yang benar dengan mencoba! Yuk, coba pikirkan kembali dan lihat apakah kamu bisa menemukan bentuk yang tepat.""
}
```","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': ""Hmm, sepertinya ada sedikit kebingungan di sini. Kamu menulis '5 + y', yang artinya penjumlahan antara 5 dan y. Namun, soal meminta 'hasil kali', yang berarti kita perlu memikirkan tentang perkalian. Coba ingat-ingat lagi, bagaimana cara menulis hasil kali dari dua angka atau variabel dalam bentuk aljabar? Jangan khawatir, kamu sudah berada di jalur yang benar dengan mencoba! Yuk, coba pikirkan kembali dan lihat apakah kamu bisa menemukan bentuk yang tepat.""}"
50,"Bentuk aljabar dari ""selisih x dan 7"" adalah....",x – 7,"Hmm, 7 dikurangi x kali ya?",Low,Low,Correct Response + Response Contingent,"Bentuk aljabar dari ""selisih x dan 7"" adalah....","Hmm, 7 dikurangi x kali ya?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Sepertinya kamu sedikit bingung dengan istilah 'selisih'. 'Selisih' berarti hasil pengurangan, jadi kita perlu mengurangi satu angka dari angka lainnya. Dalam hal ini, 'selisih x dan 7' berarti kita mengurangi 7 dari x, bukan sebaliknya. Coba pikirkan lagi, bagaimana bentuk aljabar yang tepat untuk ini? Jika kamu masih bingung, ingat bahwa urutan dalam pengurangan itu penting!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': ""Sepertinya kamu sedikit bingung dengan istilah 'selisih'. 'Selisih' berarti hasil pengurangan, jadi kita perlu mengurangi satu angka dari angka lainnya. Dalam hal ini, 'selisih x dan 7' berarti kita mengurangi 7 dari x, bukan sebaliknya. Coba pikirkan lagi, bagaimana bentuk aljabar yang tepat untuk ini? Jika kamu masih bingung, ingat bahwa urutan dalam pengurangan itu penting!""}"
